汉德术语对照表（按汉语拼音字母排列）


A

爱好 Neigung
立法 Gesetzgebenn
立法学 Nomothetik
联结 Verbindung
联想 Assoziation
连结 verknüpfen
连续（性）／连续的 Kontinuität／kontinuierlich
量 Gröβe
量／数量 Quantität
量／定量 Quantum／quanttatis
灵魂 Seele
灵魂学说 Seelenlehre
领会 Apprehension
领地 Gebiete
流过 ablaufen
流过 verlaufen
流逝 verfließen
流失的 flieβend
伦理的 sittlich
论争／论争的 Polemik／polemisch
逻辑／逻辑的 Logik／logischd

M

矛盾 Widerspruch
矛盾的 contradictorisch
迷信 Aberglauben 
明示的 ostensiv
命令 Gebot／gebieten
命令 Imperative
谬误推理 Paralogismen
摹本 Kopie
摹本 Nachbild
模态 Modalität
梦幻曲 Rhapsodie
某物 Etwas
目的论／目的论的 Teleologie／teleologisch

N

内包的 intensiv
内在的 immanent
内心 Gemüt
论证 Argumment
拟人化 anthropomorphistisch
拟人论 Anthropomorphismus

O

偶然性 Zufalligkeit
偶性 Akzidenz／accidens

P

派生 abgleiten
判断 Urteil
判断力 Urteilskraft
培养 Kultur
配得／配得上 würdig／Würdigkeit
批判／批判的 Kritik／kritisch
偏好 Hang
偏见 Philodoxie
品格 Charakter
评判 Beurteilung
普遍性／普遍的 Allgemeinheit／allgemein
普适的 gemeingültig
普适性 Allgemeingültigkeit

Q

歧义 Amphibolie
契机／力矩 Moment
启发性的 heuristisch
启示 Offenbarung
起作用的原因 die wirkende Ursache
器官 Organ
器官 Organisation
前后关联 Kontex
前件和后件 antecedens und consequens
前溯推论法 Prosyllogismus
潜在的 potenzial
强迫 nötigen
亲和性 Affinität
亲缘关系 Verwandtschaft
清泻剂 Kathartikon
情感 Gefühl
情欲 Leidenschaft
确定性 Gewiβheit
全称的 allgemein
全能的 allgewältig
全能／全能的 Allmacht／allmächtig
全能的 allvermögend
全体性 Allheit
全在 allgegenwärtig
全知的 allwissend
权利 Recht
权威 Majestät
权限 Befugnis
权限 Rechtsame
确信／信念 Überzeugung

R

人格 Person
人格化 personlifizieren
人格性 Personalität
人类学 Anthropologie
人生智慧 Weltweisheit
人为的 künstlich
认定 Recognition
认识 Erkenntnis／erkennen
认知 cognitio
任意（性）／任意的 Willkür／willkürlich
入门 Propädeutik

S

三段论的 syllogistisch
三段论推理 Vernunftschlüsse
上帝／神 Gott
设定 Supposition
神的／神圣的 göttlich
神／神性 Gottheit
神秘的 Mystisch
神圣（性）heilig／Heiligkeit
神学 Theologie
生产（性）的 produktiv
生活方式 Lebenswandel
生理学 Physiologie
十进制 Dekadik
时间 Zeit
实存 Existenz／existieren
实践的 praktisch
实然的 assertorisch
实体 Substanz
实体化 hypostasieren
实验哲学 Experimentalphilosophie
实用的 pragmatisch
实在论 Realismus
实在性 Realität
使命 Bestimmung
事件 Begebenheit
事实 Faktum
事实 Tatsache
事实性 Sachheit
适应性 Tauglichkeit
视其为真 Fürwahrhalten
视野 Horizont
“是” ist
世界 Welt
世界灵魂 Weltseele
世上至善 Weltbest
试金石／标准 Probierstein
熟巧 Geschicklichkeit
受动 leidend
瞬间 Augenblick
瞬间 Moment
属性 Eigenschaft
数学 Mathematik
数学性的 mathematisch
思辨／思辨的 Spekulation／spekulativ
思维／思想／思考 denken
思维方式 Denkungsart
斯多亚派 Stoiker
似非而是 Paradox
似是而非的 scheinbar
素质 Anlage
宿命论 Fatalismus
所为所不为 Tun oder assen

T

讨论的 Akroamatisch
特点 Eigentumliches
特殊／特殊的 Besondere／besonder
特殊的／特殊化 spezifisch／Spezifikation
题外话 Episode
体系 System
天才式的 Geniemäβig
条件／有条件的 Bedingung／bedingt
调节性的 regulativ
同类性 Homogenität
同一性 Identität
同义反复的 tautologisch
同质的 gleichartig
通盘的 durchgängig
统觉 Apperzeption
